Nomor,Kabupaten,Latitude,Longitude,Status,Dimensi,File
SAROLANGUN-BATANG ASAI-BATU EMPANG-013,SAROLANGUN,-2.62936,102.23502,FILE HILANG,,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_SAROLANGUN-BATANG ASAI-BATU EMPANG-013.jpg
SAROLANGUN-BATANG ASAI-BATU EMPANG-014,SAROLANGUN,-2.62907,102.23534,FILE HILANG,,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_SAROLANGUN-BATANG ASAI-BATU EMPANG-014.jpg
SAROLANGUN-BATANG ASAI-BATU EMPANG-015,SAROLANGUN,-2.62874,102.23565,FILE HILANG,,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_SAROLANGUN-BATANG ASAI-BATU EMPANG-015.jpg
TEBO-TEBO TENGAH-MANGUN JAYO-007,TEBO,-1.48778,102.45038,FILE HILANG,,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_TEBO-TEBO TENGAH-MANGUN JAYO-007.jpg
KERINCI-AIR HANGAT TIMUR-KEMANTAN MUDIK-001,KERINCI,-1.98776,101.39072,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-AIR HANGAT TIMUR-KEMANTAN MUDIK-001.jpg
KERINCI-AIR HANGAT TIMUR-KEMANTAN MUDIK-002,KERINCI,-1.989093,101.391252,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-AIR HANGAT TIMUR-KEMANTAN MUDIK-002.jpg
KERINCI-AIR HANGAT TIMUR-KEMANTAN MUDIK-003,KERINCI,-1.988405,101.391993,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-AIR HANGAT TIMUR-KEMANTAN MUDIK-003.jpg
KERINCI-AIR HANGAT TIMUR-KEMANTAN MUDIK-004,KERINCI,-1.98922,101.391723,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-AIR HANGAT TIMUR-KEMANTAN MUDIK-004.jpg
KERINCI-AIR HANGAT-HAMPARAN PUGU-001,KERINCI,-1.983964,101.367045,RESOLUSI RENDAH,597x797,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-AIR HANGAT-HAMPARAN PUGU-001.jpg
KERINCI-AIR HANGAT-HAMPARAN PUGU-002,KERINCI,-1.981636,101.364084,RESOLUSI RENDAH,597x797,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-AIR HANGAT-HAMPARAN PUGU-002.jpg
KERINCI-AIR HANGAT-KOTO DUA LAMA-001,KERINCI,-1.987493,101.379473,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-AIR HANGAT-KOTO DUA LAMA-001.jpg
KERINCI-AIR HANGAT-KOTO DUA LAMA-002,KERINCI,-1.986653,101.380708,RESOLUSI RENDAH,597x797,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-AIR HANGAT-KOTO DUA LAMA-002.jpg
KERINCI-GUNUNG TUJUH-JERNIH JAYA-001,KERINCI,-1.725176,101.339808,RESOLUSI RENDAH,597x797,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-GUNUNG TUJUH-JERNIH JAYA-001.jpg
KERINCI-GUNUNG TUJUH-JERNIH JAYA-002,KERINCI,-1.722977,101.340924,RESOLUSI RENDAH,597x797,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-GUNUNG TUJUH-JERNIH JAYA-002.jpg
KERINCI-GUNUNG TUJUH-TELUN BERASAP-001,KERINCI,-1.69861,101.344982,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-GUNUNG TUJUH-TELUN BERASAP-001.jpg
KERINCI-SIULAK MUKAI-KOTO LUAR-001,KERINCI,-1.97044,101.361853,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-SIULAK MUKAI-KOTO LUAR-001.jpg
KERINCI-SIULAK MUKAI-KOTO LUAR-002,KERINCI,-1.97075,101.362343,RESOLUSI RENDAH,658x878,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KERINCI-SIULAK MUKAI-KOTO LUAR-002.jpg
