No;Jarak (m);Pita;Nomor A;Nomor B;Kabupaten;Kecamatan;Desa/Kelurahan;Lon A;Lat A;Lon B;Lat B;Tanggal A;Tanggal B;Pengusul;Foto A;Foto B;Foto Identik;Status Koordinat;Keputusan;Catatan Petugas
1;0.9;<5 m;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-002;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-003;MUARO BUNGO;SEPENGGAL LINTAS;LUBUK LANDAI;101.953416;-1.400867;101.95341;-1.400872;12/02/2026;12/02/2026;Hambali;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-002.jpg;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-003.jpg;tidak;kedua koordinat sah;;
2;1.6;<5 m;KERINCI-SIULAK-TEBING TINGGI-001;KERINCI-SIULAK-TEBING TINGGI-002;KERINCI;SIULAK;TEBING TINGGI;101.34692;-1.95116;101.34693;-1.95115;11/06/2026;11/06/2026;Bupati Kerinci;KERINCI-SIULAK-TEBING TINGGI-001.jpg;KERINCI-SIULAK-TEBING TINGGI-002.jpg;tidak;kedua koordinat sah;;
3;3.6;<5 m;TEBO-MUARA TABIR-PINTAS TUO-001;TEBO-MUARA TABIR-PINTAS TUO-002;TEBO;MUARA TABIR;PINTAS TUO;102.56526;-1.6412;102.565292;-1.641196;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-PINTAS TUO-001.jpg;TEBO-MUARA TABIR-PINTAS TUO-002.jpg;tidak;kedua koordinat sah;;
4;4.8;<5 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-005;SAROLANGUN-BATANG ASAI-BATU EMPANG-007;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.23543;-2.627897;102.235392;-2.627876;28/02/2026;28/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-005.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-007.jpg;tidak;salah satu menunggu ukur ulang;;
5;4.8;<5 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-006;SAROLANGUN-BATANG ASAI-BATU EMPANG-007;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.23543;-2.627897;102.235392;-2.627876;28/02/2026;28/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-006.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-007.jpg;tidak;kedua koordinat sah;;
6;9.5;5-10 m;TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-MUARA SABAK ILIR-003;TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-MUARA SABAK ILIR-004;TANJUNG JABUNG TIMUR;MUARA SABAK TIMUR;MUARA SABAK ILIR;103.88408;-1.12497;103.88416;-1.12494;03/08/2026;03/08/2026;Yudhi (NasDem);TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-MUARA SABAK ILIR-003.jpg;TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-MUARA SABAK ILIR-004.jpg;tidak;kedua koordinat sah;;
7;9.7;5-10 m;MERANGIN-TIANG PUMPUNG-SEKANCING-020;MERANGIN-TIANG PUMPUNG-SEKANCING-029;MERANGIN;TIANG PUMPUNG;SEKANCING;102.185517;-2.256713;102.185592;-2.256757;28/06/2026;29/06/2026;Gubernur Jambi;MERANGIN-TIANG PUMPUNG-SEKANCING-020.jpg;MERANGIN-TIANG PUMPUNG-SEKANCING-029.jpg;tidak;kedua koordinat sah;;
8;9.9;5-10 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-001;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-003;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58653;-1.58544;103.58645;-1.5854;13/05/2026;13/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-001.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-003.jpg;tidak;kedua koordinat sah;;
9;10.0;10-20 m;TEBO-MUARA TABIR-EMBACANG GEDANG-005;TEBO-MUARA TABIR-EMBACANG GEDANG-006;TEBO;MUARA TABIR;EMBACANG GEDANG;102.519337;-1.650156;102.519275;-1.650222;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-005.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-006.jpg;tidak;kedua koordinat sah;;
10;10.0;10-20 m;TEBO-MUARA TABIR-EMBACANG GEDANG-005;TEBO-MUARA TABIR-EMBACANG GEDANG-007;TEBO;MUARA TABIR;EMBACANG GEDANG;102.519337;-1.650156;102.519275;-1.650222;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-005.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-007.jpg;tidak;salah satu menunggu ukur ulang;;
